game,eta,n_train,method,sample,error
0,0.0,10,VI,4,0.0002021749431276104
0,0.0,10,VI,5,0.0008241946273264016
0,0.0,10,VI,6,4.822293332885292e-06
0,0.0,10,VI,7,0.0001265283276820348
0,0.0,10,VI,8,6.479597923377806e-06
0,0.0,10,VI,9,4.820031370697381e-06
0,0.0,10,VI,10,0.0027882528494725923
0,0.0,10,VI,11,5.7055005570365744e-05
0,0.0,10,VI,12,0.0019840383258794727
0,0.0,10,VI,13,0.008064847112603237
0,0.0,10,VI,14,2.0820684438924893e-06
0,0.0,10,VI,15,3.490422004623625e-06
0,0.0,10,VI,16,0.016941185275894645
0,0.0,10,VI,17,0.013842870573866364
0,0.0,10,VI,18,0.0004160111474202209
0,0.0,10,VI,19,0.00018706495349969724
0,0.0,10,VI,20,0.0008635052699531008
0,0.0,10,VI,21,2.6379431131709166e-06
0,0.0,10,VI,22,0.007518205418186565
0,0.0,10,VI,23,2.0575687667991447e-06
0,0.0,10,VI,24,0.0035345893105252707
0,0.0,10,VI,25,0.01050384253302084
0,0.0,10,VI,26,0.0004932409333385204
0,0.0,10,VI,27,0.010597628177747207
0,0.0,10,VI,28,0.00737328756001581
0,0.0,10,VI,29,6.337333681709623e-07
0,0.0,10,VI,30,0.0006344077059784137
0,0.0,10,VI,31,0.00018847306813460333
0,0.0,10,VI,32,7.891897547824575e-07
0,0.0,10,VI,33,0.0022300951132768108
0,0.0,10,VI,34,0.0018526727135115906
0,0.0,10,VI,35,6.277194612653757e-05
0,0.0,10,VI,36,6.311170330241576e-06
0,0.0,10,VI,37,0.01413565144851746
0,0.0,10,VI,38,0.0019182129963293934
0,0.0,10,VI,39,0.00019209858222423424
0,0.0,10,VI,40,7.053949064824273e-06
0,0.0,10,VI,41,0.00010385409212114074
0,0.0,10,VI,42,5.768602586380135e-05
0,0.0,10,VI,43,0.0024524305268277943
0,0.0,10,VI,44,7.211932702401345e-07
0,0.0,10,VI,45,0.0001551305534363013
0,0.0,10,VI,46,6.242182492166738e-06
0,0.0,10,VI,47,0.0007235139978761055
0,0.0,10,VI,48,2.4595735343503256e-05
0,0.0,10,VI,49,0.0032432700495272156
0,0.0,10,VI,50,0.011814672611567888
0,0.0,10,VI,51,0.0018526835923419265
0,0.0,10,VI,52,0.005737903214324188
0,0.0,10,VI,53,5.277396254276326e-06
0,0.0,10,VI,54,0.011804626222408748
0,0.0,10,VI,55,0.008315120687420467
0,0.0,10,VI,56,0.00017291275293407915
0,0.0,10,VI,57,0.0002598619186187885
0,0.0,10,VI,58,0.01655675322862702
0,0.0,10,VI,59,2.105881148918112e-05
0,0.0,20,SUB,0,0.012179326814090856
0,0.0,20,SUB,1,0.012317673411188959
0,0.0,20,SUB,2,0.015100541231229813
0,0.0,20,SUB,3,0.008871555346088456
0,0.0,20,SUB,4,0.01390136736931094
0,0.0,20,SUB,5,0.009881690774046235
0,0.0,20,SUB,6,0.013554835493342693
0,0.0,20,SUB,7,0.01538589279889657
0,0.0,20,SUB,8,0.019899760912932205
0,0.0,20,SUB,9,0.024881707115539824
0,0.0,20,SUB,10,0.01908604725705288
0,0.0,20,SUB,11,0.012968667713607872
0,0.0,20,SUB,12,0.011365064435169757
0,0.0,20,SUB,13,0.01737062253930984
0,0.0,20,SUB,14,0.01622799848387662
0,0.0,20,SUB,15,0.013784558190188862
0,0.0,20,SUB,16,0.016226488716238576
0,0.0,20,SUB,17,0.009603374147208837
0,0.0,20,SUB,18,0.02167125054051415
0,0.0,20,SUB,19,0.02559396046352744
0,0.0,20,SUB,20,0.018045315961881702
0,0.0,20,SUB,21,0.02470790792755286
0,0.0,20,SUB,22,0.01390971933657351
0,0.0,20,SUB,23,0.026026329354870797
0,0.0,20,SUB,24,0.012995916505504815
0,0.0,20,SUB,25,0.007757376523630722
0,0.0,20,SUB,26,0.01011083238512884
0,0.0,20,SUB,27,0.015696963485120848
0,0.0,20,SUB,28,0.013441280607412525
0,0.0,20,SUB,29,0.014890447372825863
0,0.0,20,SUB,30,0.02072218189877835
0,0.0,20,SUB,31,0.016573238257645066
0,0.0,20,SUB,32,0.014045095199479662
0,0.0,20,SUB,33,0.012601084433271528
0,0.0,20,SUB,34,0.027099992545864766
0,0.0,20,SUB,35,0.012239177908411121
0,0.0,20,SUB,36,0.011860598430297202
0,0.0,20,SUB,37,0.013821247539510648
0,0.0,20,SUB,38,0.016300209816952516
0,0.0,20,SUB,39,0.017481176941242505
0,0.0,20,SUB,40,0.019904510397441795
