game,eta,method,test_median,theta_err,time,mu,L,lambda_min_M
3,0.0,SUB,0.0374297267973092,0.3512244885171611,1.0362461250042543,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.0,VI,3.397162108734894e-05,0.30554354651166415,0.06059529198682867,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.01,SUB,0.03207019762336591,0.3517666289562544,1.04749462500331,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.01,VI,0.008754128440061968,0.6414424984952892,0.05767970799934119,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.05,SUB,0.039273763749881466,0.3521769520994037,1.0466893329867162,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.05,VI,1.8762551774620033,1.0131765314992505,0.0578383750107605,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.1,SUB,0.05523675097214245,0.3541986419462475,1.071337000001222,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.1,VI,1.9155311988410404,1.0167284410268365,0.05655079198186286,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.3,SUB,0.11458900606187344,0.36661957426685265,1.0372067079879344,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.3,VI,1.9584916362645954,1.0167293962472608,0.05075312498956919,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.5,SUB,0.16331656467516614,0.38415010979858333,1.031442417006474,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.5,VI,1.9302724255524413,1.016729468676508,0.05153216701000929,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.7,SUB,0.25257483682166926,0.4227930674017416,1.0398600829939824,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.7,VI,1.9730284281849944,1.0167240351424442,0.05510500000673346,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.9,SUB,0.29099442988259255,0.4992699203023871,1.0613228750007693,0.9052274651166463,1.691120446685603,0.2992461506348065
3,0.9,VI,1.917367738652163,1.0167294349384537,0.05359229099121876,0.9052274651166463,1.691120446685603,0.2992461506348065
3,1.0,SUB,0.29376755255287484,0.4751573969084246,1.0413636250013951,0.9052274651166463,1.691120446685603,0.2992461506348065
3,1.0,VI,1.9503877925624993,1.0167302742339208,0.043237167003098875,0.9052274651166463,1.691120446685603,0.2992461506348065
4,0.0,SUB,0.025443591176149548,0.31723351559108853,1.042847917007748,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.0,VI,1.9044302362610826e-05,0.30183769676042677,0.06226604199036956,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.01,SUB,0.027087458683275258,0.3184032310659295,1.0530891669914126,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.01,VI,0.007133564596530565,0.7012969082964106,0.05637591701815836,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.05,SUB,0.04301520495435403,0.31996804185397515,1.0496518750151154,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.05,VI,2.2033581787907996,1.0191287646157021,0.05429933298728429,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.1,SUB,0.05656775151640407,0.32192330610883996,1.05986758400104,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.1,VI,2.203542875633819,1.0191287571856436,0.04853466700296849,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.3,SUB,0.14126413554762923,0.34977623050773277,1.0649959580041468,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.3,VI,2.18521476776973,1.0191246118659119,0.05052733398042619,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.5,SUB,0.23922872549747876,0.382652282229667,1.0412401669891551,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.5,VI,2.169775081559414,1.0191287470348829,0.05483979100245051,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.7,SUB,0.2618127857053789,0.46578321858954813,1.0663975829957053,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.7,VI,2.1930865647321864,1.0191269268944527,0.05489795800531283,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.9,SUB,0.3530821107665181,0.4996347167812956,1.0316877500154078,0.8187778053884365,1.652436128856259,0.2698016605772784
4,0.9,VI,2.204745683869464,1.019125021846674,0.044104125001467764,0.8187778053884365,1.652436128856259,0.2698016605772784
4,1.0,SUB,0.34341722560671734,0.5439520015699604,1.043464166985359,0.8187778053884365,1.652436128856259,0.2698016605772784
4,1.0,VI,2.2047853785276414,1.0191280244146244,0.05493204100639559,0.8187778053884365,1.652436128856259,0.2698016605772784
5,0.0,SUB,0.02803183945228366,0.36058133249365365,1.5134710840065964,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.0,VI,2.5891684677994672e-05,0.3215952113440822,0.04555037498357706,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.01,SUB,0.02553849565654448,0.3613128611090023,1.0803943749924656,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.01,VI,0.005915237782634702,0.6352429563474169,0.06315425000502728,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.05,SUB,0.050817496633669065,0.36269990190989326,1.1587277080107015,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.05,VI,1.8394899025611595,1.0212434241080814,0.06775695801479742,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.1,SUB,0.05924996407646049,0.36310785866895723,1.0513574999931734,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.1,VI,1.9181114774989434,1.030438417785326,0.06584879200090654,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.3,SUB,0.12962525767866329,0.3741089328294839,1.0848995830165222,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.3,VI,1.921688043749024,1.0304390734756017,0.055085667001549155,0.7826015566621487,1.6992908383782592,0.2804910626230266
5,0.5,SUB,0.1794142550929434,0.40224710681834325,1.0389435840188526,0.7826015566621487,1.6992908383782592,0.2804910626230266
