game,eta,method,sample,error
0,0.01,SUB,2,0.06066176672910138
0,0.01,SUB,3,0.040031596596521675
0,0.01,SUB,4,0.02307871363615672
0,0.01,SUB,5,0.031132121478755097
0,0.01,SUB,6,0.030768419112785914
0,0.01,SUB,7,0.045123709146599064
0,0.01,SUB,8,0.03296667264068911
0,0.01,SUB,9,0.04748365092132287
0,0.01,SUB,10,0.023508395062773434
0,0.01,SUB,11,0.020017318195116235
0,0.01,SUB,12,0.023515969344671775
0,0.01,SUB,13,0.0380918213385841
0,0.01,SUB,14,0.024505999059581857
0,0.01,SUB,15,0.029643715381950906
0,0.01,SUB,16,0.02311974535461955
0,0.01,SUB,17,0.02701201419508695
0,0.01,SUB,18,0.042340360312628125
0,0.01,SUB,19,0.027833367216671897
0,0.01,SUB,20,0.020274686246776488
0,0.01,SUB,21,0.019950306764018155
0,0.01,SUB,22,0.037308398791511016
0,0.01,SUB,23,0.029702900273613816
0,0.01,SUB,24,0.028012489785489904
0,0.01,SUB,25,0.026768447342336372
0,0.01,SUB,26,0.025391354362976664
0,0.01,SUB,27,0.018471150560871653
0,0.01,SUB,28,0.043379824635293586
0,0.01,SUB,29,0.02864175241506853
0,0.01,SUB,30,0.019723308229506156
0,0.01,SUB,31,0.02542030698733502
0,0.01,SUB,32,0.025423592018797812
0,0.01,SUB,33,0.030427781251927365
0,0.01,SUB,34,0.029766293300048294
0,0.01,SUB,35,0.03175796096865063
0,0.01,SUB,36,0.031652547729337385
0,0.01,SUB,37,0.044772329193826364
0,0.01,SUB,38,0.024501040930889274
0,0.01,SUB,39,0.0292415590705915
0,0.01,SUB,40,0.018342562003865977
0,0.01,SUB,41,0.03618115387372651
0,0.01,SUB,42,0.028827338734404434
0,0.01,SUB,43,0.055102849473004804
0,0.01,SUB,44,0.04499042587931803
0,0.01,SUB,45,0.035348754511022144
0,0.01,SUB,46,0.04317784303305992
0,0.01,SUB,47,0.027177627255202588
0,0.01,SUB,48,0.05131323816055415
0,0.01,SUB,49,0.023260488384034855
0,0.01,VI,0,0.0074590121220313565
0,0.01,VI,1,0.007340092627557611
0,0.01,VI,2,0.007931291475562628
0,0.01,VI,3,0.0068336182040627845
0,0.01,VI,4,0.006312246396306017
0,0.01,VI,5,0.008286014219900856
0,0.01,VI,6,0.006897572031316704
0,0.01,VI,7,0.007167122008925536
0,0.01,VI,8,0.005286267175335581
0,0.01,VI,9,0.01000947917036175
0,0.01,VI,10,0.0069597506152030385
0,0.01,VI,11,0.006090323211714616
0,0.01,VI,12,0.007140003852279245
0,0.01,VI,13,0.008639770532301328
0,0.01,VI,14,0.006186556845128853
0,0.01,VI,15,0.009145012557081646
0,0.01,VI,16,0.007697924434472326
0,0.01,VI,17,0.008985860268325076
0,0.01,VI,18,0.008201077592212634
0,0.01,VI,19,0.006389694349406873
0,0.01,VI,20,0.0073027061626943475
0,0.01,VI,21,0.004956909479939557
0,0.01,VI,22,0.007986367427894294
0,0.01,VI,23,0.009001015121288017
0,0.01,VI,24,0.0070817984485267525
0,0.01,VI,25,0.005503608162072516
0,0.01,VI,26,0.00848038521419147
0,0.01,VI,27,0.00618967118583655
0,0.01,VI,28,0.010601968010950829
0,0.01,VI,29,0.006964739556794217
0,0.01,VI,30,0.010463904219342336
0,0.01,VI,31,0.004907089402859585
0,0.01,VI,32,0.00709244677429643
0,0.01,VI,33,0.008841352197645107
0,0.01,VI,34,0.007214410473019239
0,0.01,VI,35,0.006722883204963227
0,0.01,VI,36,0.006018781930032503
0,0.01,VI,37,0.006689676144126919
0,0.01,VI,38,0.005223224028777738
0,0.01,VI,39,0.00697803722350959
0,0.01,VI,40,0.0053511381957471885
0,0.01,VI,41,0.006428781016655096
0,0.01,VI,42,0.009191444476844945
0,0.01,VI,43,0.008060681321011974
0,0.01,VI,44,0.007782520826959673
0,0.01,VI,45,0.007774983555823714
0,0.01,VI,46,0.006082910895386638
0,0.01,VI,47,0.007399408988259796
0,0.01,VI,48,0.0070981346037761435
0,0.01,VI,49,0.007079415159993053
0,0.05,SUB,0,0.05865521712712525
0,0.05,SUB,1,0.03409631110273173
0,0.05,SUB,2,0.12938579318080332
0,0.05,SUB,3,0.0244159611000147
0,0.05,SUB,4,0.08436000148500508
0,0.05,SUB,5,0.040524852315774205
0,0.05,SUB,6,0.1155786593243101
0,0.05,SUB,7,0.036971766886736826
0,0.05,SUB,8,0.10064078119795969
0,0.05,SUB,9,0.03970609236427484
0,0.05,SUB,10,0.030855247902652365
0,0.05,SUB,11,0.033603660308309004
0,0.05,SUB,12,0.03216740704474197
0,0.05,SUB,13,0.049614191334496044
0,0.05,SUB,14,0.04135610461044185
0,0.05,SUB,15,0.05860786661426561
0,0.05,SUB,16,0.14651218299731744
0,0.05,SUB,17,0.02385274754353499
0,0.05,SUB,18,0.07659858109693371
0,0.05,SUB,19,0.042731449955308747
0,0.05,SUB,20,0.05196729640459011
0,0.05,SUB,21,0.05082787238029533
0,0.05,SUB,22,0.13088071133719356
0,0.05,SUB,23,0.02052415106072358
0,0.05,SUB,24,0.04487216688051302
0,0.05,SUB,25,0.030993103657401534
0,0.05,SUB,26,0.048744465895420135
0,0.05,SUB,27,0.04447893519062766
0,0.05,SUB,28,0.034595785927086266
0,0.05,SUB,29,0.08238309561735076
0,0.05,SUB,30,0.15107173974893673
0,0.05,SUB,31,0.0812491624804843
0,0.05,SUB,32,0.05912653388456775
0,0.05,SUB,33,0.0844050490072265
0,0.05,SUB,34,0.049154471062847635
0,0.05,SUB,35,0.08967105854973229
0,0.05,SUB,36,0.052800663289195554
0,0.05,SUB,37,0.11351064987422904
0,0.05,SUB,38,0.05619770551425754
0,0.05,SUB,39,0.09018746502901594
0,0.05,SUB,40,0.03553339517976518
0,0.05,SUB,41,0.031623921975134896
0,0.05,SUB,42,0.11736745948890397
0,0.05,SUB,43,0.06270345744716924
